esdras@dell:~$ pwd /home/esdras/estudos/mestrado_2/Matrix-Capsules
/home/esdras
esdras@dell:~$ cd /home/esdras/estudos/mestrado_2/Matrix-Capsules
esdras@dell:~/estudos/mestrado_2/Matrix-Capsules$ python train.py
Dataset Loaded: 51839
Train Size: 39209
Val Size: 12630
CapsNet(
  (conv1): Conv2d(1, 64, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  (bn1): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (primary_caps): PrimaryCaps(
    (pose): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
    (a): Conv2d(64, 8, kernel_size=(1, 1), stride=(1, 1))
    (sigmoid): Sigmoid()
  )
  (conv_caps1): ConvCaps(
    (sigmoid): Sigmoid()
    (softmax): Softmax()
  )
  (conv_caps2): ConvCaps(
    (sigmoid): Sigmoid()
    (softmax): Softmax()
  )
  (class_caps): ConvCaps(
    (sigmoid): Sigmoid()
    (softmax): Softmax()
  )
)
Number of Trainables Params: 77086
Train Epoch: 1	[3700/39209 (9%)]	Loss: 0.829957	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[3800/39209 (10%)]	Loss: 1.169056	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[3900/39209 (10%)]	Loss: 0.632491	Accuracy: 30.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4000/39209 (10%)]	Loss: 0.949982	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4100/39209 (10%)]	Loss: 0.783692	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4200/39209 (11%)]	Loss: 1.687532	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4300/39209 (11%)]	Loss: 0.958791	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4400/39209 (11%)]	Loss: 0.533650	Accuracy: 40.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4500/39209 (11%)]	Loss: 0.664395	Accuracy: 30.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4600/39209 (12%)]	Loss: 1.071938	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4700/39209 (12%)]	Loss: 1.225794	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4800/39209 (12%)]	Loss: 0.955962	Accuracy: 30.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[4900/39209 (12%)]	Loss: 0.747096	Accuracy: 40.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5000/39209 (13%)]	Loss: 0.969514	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5100/39209 (13%)]	Loss: 1.525450	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5200/39209 (13%)]	Loss: 1.598293	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5300/39209 (14%)]	Loss: 1.047115	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5400/39209 (14%)]	Loss: 1.424262	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5500/39209 (14%)]	Loss: 0.768209	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5600/39209 (14%)]	Loss: 1.377637	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5700/39209 (15%)]	Loss: 0.894166	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5800/39209 (15%)]	Loss: 0.641614	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[5900/39209 (15%)]	Loss: 0.646394	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6000/39209 (15%)]	Loss: 1.190851	Accuracy: 30.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6100/39209 (16%)]	Loss: 1.325710	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6200/39209 (16%)]	Loss: 1.025874	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6300/39209 (16%)]	Loss: 1.063116	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6400/39209 (16%)]	Loss: 1.388404	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6500/39209 (17%)]	Loss: 0.720970	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6600/39209 (17%)]	Loss: 1.020826	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6700/39209 (17%)]	Loss: 0.732193	Accuracy: 30.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6800/39209 (17%)]	Loss: 0.655499	Accuracy: 30.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[6900/39209 (18%)]	Loss: 1.172091	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7000/39209 (18%)]	Loss: 0.716955	Accuracy: 50.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7100/39209 (18%)]	Loss: 0.807712	Accuracy: 20.000000	Time 0.727 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7200/39209 (18%)]	Loss: 1.319514	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7300/39209 (19%)]	Loss: 0.502261	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7400/39209 (19%)]	Loss: 1.128607	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7500/39209 (19%)]	Loss: 1.463973	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7600/39209 (19%)]	Loss: 0.955474	Accuracy: 50.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7700/39209 (20%)]	Loss: 0.605261	Accuracy: 40.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7800/39209 (20%)]	Loss: 0.761951	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[7900/39209 (20%)]	Loss: 0.912272	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8000/39209 (20%)]	Loss: 1.570648	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8100/39209 (21%)]	Loss: 0.878821	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8200/39209 (21%)]	Loss: 0.731365	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8300/39209 (21%)]	Loss: 0.802446	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8400/39209 (21%)]	Loss: 1.196002	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8500/39209 (22%)]	Loss: 0.671906	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8600/39209 (22%)]	Loss: 0.985088	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[8700/39209 (22%)]	Loss: 0.829386	Accuracy: 40.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
